symbol,token,name
CUMMINSIND-EQ,1901,CUMMINSIND
SFL-EQ,19184,SFL
HISARMETAL-EQ,19322,HISARMETAL
SECMARK-EQ,19496,SECMARK
IITL-EQ,19525,IITL
UGARSUGAR-EQ,19578,UGARSUGAR
ALPHAETF-EQ,19640,ALPHAETF
GOLDIETF-EQ,19679,GOLDIETF
WELINV-EQ,19800,WELINV
HONASA-EQ,19813,HONASA
EGOLD-EQ,19933,EGOLD
LUMAXIND-EQ,2018,LUMAXIND
CANTABIL-EQ,20160,CANTABIL
ESILVER-EQ,20257,ESILVER
CGCL-EQ,20329,CGCL
APCL-EQ,20453,APCL
DIGIDRIVE-EQ,21247,DIGIDRIVE
AVADHSUGAR-EQ,21406,AVADHSUGAR
BDL-EQ,2144,BDL
STEL-EQ,21484,STEL
DCAL-EQ,21704,DCAL
DAVANGERE-EQ,21794,DAVANGERE
ACC-EQ,22,ACC
LOVABLE-EQ,22415,LOVABLE
EPACK-EQ,22463,EPACK
ITBETA-EQ,22488,ITBETA
MRPL-EQ,2283,MRPL
GOLDCASE-EQ,22901,GOLDCASE
RKSWAMY-EQ,23043,RKSWAMY
SMCGLOBAL-EQ,2320,SMCGLOBAL
MOS250INAV-EQ,23188,MOS250INAV
CPSEETF-EQ,2328,CPSEETF
ASIANPAINT-EQ,236,ASIANPAINT
RELAXO-EQ,24225,RELAXO
VRAJ-EQ,24321,VRAJ
CONSUMBEES-EQ,2435,CONSUMBEES
DELPHIFX-EQ,24391,DELPHIFX
EMCURE-EQ,24398,EMCURE
SANSTAR-EQ,24582,SANSTAR
METALIETF-EQ,24861,METALIETF
SILGO-EQ,2492,SILGO
PREMIERENE-EQ,25049,PREMIERENE
BCLIND-EQ,2513,BCLIND
FLEXITUFF-EQ,25512,FLEXITUFF
TRITURBINE-EQ,25584,TRITURBINE
MOME50INAV-EQ,25621,MOME50INAV
AFFORDABLE-EQ,25855,AFFORDABLE
DBEIL-EQ,25892,DBEIL
SEAMECLTD-EQ,2616,SEAMECLTD
PCBL-EQ,2649,PCBL
PIDILITIND-EQ,2664,PIDILITIND
SAGILITY-EQ,27052,SAGILITY
CINELINE-EQ,27161,CINELINE
RAJSREESUG-EQ,2809,RAJSREESUG
VMM-EQ,27969,VMM
RALLIS-EQ,2816,RALLIS
ANURAS-EQ,2829,ANURAS
RANEHOLDIN-EQ,2844,RANEHOLDIN
KITEX-EQ,28899,KITEX
DUCON-EQ,28952,DUCON
RICOAUTO-EQ,2909,RICOAUTO
STALLION-EQ,29204,STALLION
AJAXENGG-EQ,29624,AJAXENGG
HEXT-EQ,29666,HEXT
GUJTHEM-EQ,29731,GUJTHEM
GROWWN200-EQ,29872,GROWWN200
JUSTDIAL-EQ,29962,JUSTDIAL
BSE500IETF-EQ,3001,BSE500IETF
EQUAL200-EQ,30121,EQUAL200
EQU200INAV-EQ,30124,EQU200INAV
PRABHA-EQ,30134,PRABHA
SDL26BEES-EQ,3022,SDL26BEES
SML100INAV-EQ,30544,SML100INAV
BAJAJHIND-EQ,308,BAJAJHIND
LODHA-EQ,3220,LODHA
THOMASCOTT-EQ,31017,THOMASCOTT
TEMBO-EQ,3275,TEMBO
STARPAPER-EQ,3291,STARPAPER
DEEPINDS-EQ,3292,DEEPINDS
SUNDARMFIN-EQ,3339,SUNDARMFIN
TAINWALCHM-EQ,3396,TAINWALCHM
TATACONSUM-EQ,3432,TATACONSUM
TMPV-EQ,3456,TMPV
TIRUMALCHM-EQ,3496,TIRUMALCHM
TIL-EQ,3484,TIL
UCAL-EQ,3570,UCAL
HEALTHIETF-EQ,3626,HEALTHIETF
VIPIND-EQ,3703,VIPIND
RITES-EQ,3761,RITES
WIPRO-EQ,3787,WIPRO
BEML-EQ,395,BEML
TOKYOPLAST-EQ,3837,TOKYOPLAST
BERGEPAINT-EQ,404,BERGEPAINT
MOTHERSON-EQ,4204,MOTHERSON
KOTHARIPET-EQ,4594,KOTHARIPET
GAIL-EQ,4717,GAIL
SKMEGGPROD-EQ,4732,SKMEGGPROD
INDNIPPON-EQ,4747,INDNIPPON
KCPSUGIND-EQ,4809,KCPSUGIND
SNOWMAN-EQ,4843,SNOWMAN
KIMS-EQ,4847,KIMS
FDC-EQ,4898,FDC
GANGAFORGE-EQ,4957,GANGAFORGE
PHARMABEES-EQ,4973,PHARMABEES
CLEAN-EQ,5049,CLEAN
SGIL-EQ,5114,SGIL
AAREYDRUGS-EQ,5245,AAREYDRUGS
DEVYANI-EQ,5373,DEVYANI
NGIL-EQ,5401,NGIL
JAIPURKURT-EQ,5516,JAIPURKURT
ACUTAAS-EQ,5578,ACUTAAS
BSL-EQ,559,BSL
CUB-EQ,5701,CUB
INTELLECT-EQ,5926,INTELLECT
BSLSENETFG-EQ,5957,BSLSENETFG
ABSLAMC-EQ,6018,ABSLAMC
EIFFL-EQ,6040,EIFFL
SJS-EQ,6643,SJS
IVC-EQ,6711,IVC
DHRUV-EQ,6858,DHRUV
MENONBE-EQ,6961,MENONBE
ZODIAC-EQ,7129,ZODIAC
ORIENTLTD-EQ,18208,ORIENTLTD
CUPID-EQ,18520,CUPID
MVGJL-EQ,19015,MVGJL
BOROLTD-EQ,19401,BOROLTD
IRMENERGY-EQ,19597,IRMENERGY
MAXESTATES-EQ,19646,MAXESTATES
MASFIN-EQ,199,MASFIN
LICHSGFIN-EQ,1997,LICHSGFIN
INTENTECH-EQ,20071,INTENTECH
RAMKY-EQ,20134,RAMKY
JWL-EQ,20224,JWL
TATATECH-EQ,20293,TATATECH
NRAIL-EQ,20314,NRAIL
SHANKARA-EQ,20321,SHANKARA
NACLIND-EQ,20425,NACLIND
BAJEL-EQ,20531,BAJEL
DOMS-EQ,20551,DOMS
ASHIMASYN-EQ,206,ASHIMASYN
DOLLAR-EQ,20560,DOLLAR
SUPERHOUSE-EQ,20616,SUPERHOUSE
MAHSCOOTER-EQ,2085,MAHSCOOTER
MAHSEAMLES-EQ,2088,MAHSEAMLES
FMNL-EQ,21017,FMNL
INNOVACAP-EQ,21062,INNOVACAP
SURANASOL-EQ,21077,SURANASOL
MASTEK-EQ,2124,MASTEK
DYNPRO-EQ,21314,DYNPRO
BOSCHLTD-EQ,2181,BOSCHLTD
IEX-EQ,220,IEX
NIFTYBETF-EQ,21959,NIFTYBETF
MAXIND-EQ,22428,MAXIND
GILT10BETA-EQ,22524,GILT10BETA
BLSE-EQ,22566,BLSE
MON100-EQ,22739,MON100
PLATIND-EQ,22930,PLATIND
MUNJALSHOW-EQ,2307,MUNJALSHOW
JAYNECOIND-EQ,2331,JAYNECOIND
181NSETEST-EQ,23447,181NSETEST
JNKINDIA-EQ,23621,JNKINDIA
MIDSMALL-EQ,23855,MIDSMALL
KRONOX-EQ,24025,KRONOX
TOP100CASE-EQ,24081,TOP100CASE
STANLEY-EQ,24226,STANLEY
AGIIL-EQ,24445,AGIIL
MIDHANI-EQ,2463,MIDHANI
RPEL-EQ,24735,RPEL
GROWWEV-EQ,24798,GROWWEV
GSEC10ABSL-EQ,24847,GSEC10ABSL
SSDL-EQ,24856,SSDL
INVENTURE-EQ,24870,INVENTURE
MFML-EQ,24937,MFML
PNGJL-EQ,25312,PNGJL
INDOTHAI-EQ,25608,INDOTHAI
METAL-EQ,25744,METAL
AVL-EQ,25984,AVL
TBZ-EQ,27037,TBZ
SWIGGY-EQ,27066,SWIGGY
SPECIALITY-EQ,27107,SPECIALITY
BLACKBUCK-EQ,27144,BLACKBUCK
GICRE-EQ,277,GICRE
RSWM-EQ,2794,RSWM
SAILIFE-EQ,27839,SAILIFE
MAYURUNIQ-EQ,28906,MAYURUNIQ
ECAPINSURE-EQ,29019,ECAPINSURE
INDUSTOWER-EQ,29135,INDUSTOWER
LAXMIDENTL-EQ,29171,LAXMIDENTL
NIFTYIETF-EQ,29553,NIFTYIETF
UNIONGOLD-EQ,29687,UNIONGOLD
QPOWER-EQ,29711,QPOWER
MSCIINDIA-EQ,29758,MSCIINDIA
VIVIDHA-EQ,29877,VIVIDHA
ABFRL-EQ,30108,ABFRL
CASHIETF-EQ,30139,CASHIETF
SOTL-EQ,3021,SOTL
JINDALSAW-EQ,3024,JINDALSAW
SCI-EQ,3048,SCI
GRO250INAV-EQ,30570,GRO250INAV
GRW150INAV-EQ,30574,GRW150INAV
PILITA-EQ,30835,PILITA
COMPUSOFT-EQ,31138,COMPUSOFT
UFBL-EQ,3127,UFBL
JTEKTINDIA-EQ,3237,JTEKTINDIA
NITIRAJ-EQ,3247,NITIRAJ
SUPREMEIND-EQ,3363,SUPREMEIND
SURYAROSNI-EQ,3375,SURYAROSNI
AJOONI-EQ,3403,AJOONI
TFCILTD-EQ,3466,TFCILTD
TECILCHEM-EQ,3453,TECILCHEM
ROML-EQ,359,ROML
MOKSH-EQ,3586,MOKSH
UNIVCABLES-EQ,3607,UNIVCABLES
VLSFINANCE-EQ,3715,VLSFINANCE
WALCHANNAG-EQ,3736,WALCHANNAG
SINTERCOM-EQ,381,SINTERCOM
WILLAMAGOR-EQ,3772,WILLAMAGOR
ZODIACLOTH-EQ,3821,ZODIACLOTH
IFGLEXPOR-EQ,436,IFGLEXPOR
VISAKAIND-EQ,4221,VISAKAIND
SHRIRAMFIN-EQ,4306,SHRIRAMFIN
KEYFINSERV-EQ,4157,KEYFINSERV
BHEL-EQ,438,BHEL
SENSEXIETF-EQ,4378,SENSEXIETF
5PAISA-EQ,445,5PAISA
MPHASIS-EQ,4503,MPHASIS
DYNAMATECH-EQ,4525,DYNAMATECH
RAMCOIND-EQ,4587,RAMCOIND
OSWALGREEN-EQ,471,OSWALGREEN
LIQUIDIETF-EQ,4838,LIQUIDIETF
JAICORPLTD-EQ,5143,JAICORPLTD
INDUSINDBK-EQ,5258,INDUSINDBK
ROLEXRINGS-EQ,5279,ROLEXRINGS
NUVOCO-EQ,5426,NUVOCO
ASTRAZEN-EQ,5610,ASTRAZEN
CANFINHOME-EQ,583,CANFINHOME
ARCHIES-EQ,5688,ARCHIES
CARBORUNIV-EQ,595,CARBORUNIV
DIGJAMLMTD-EQ,6127,DIGJAMLMTD
